,IP,日期,Request方式,url,http版本,返回码,reponse长度,referer,user_agent,缓存是否命中
12,218.106.145.18,[26/Apr/2019:23:59:09 +0800],"""GET",/universities.json?term=%E7%A6%8F%E5%B7%9E%E5%A4%A7%E5%AD%A6%EF%BC%88211%E5%B7%A5%E7%A8%8Byuan%27xiao%EF%BC%89,"HTTP/1.1""",200,33,"['""https://www.wondercv.com/zh-CN/cvs/gKDnhOg/editor""']","""Mozilla/5.0(WindowsNT10.0;Win64;x64)AppleWebKit/537.36(KHTML,likeGecko)Chrome/73.0.3683.75Safari/537.36""",MISS
13,117.136.6.62,[26/Apr/2019:23:59:09 +0800],"""GET",/verbs?type=%E4%B8%AA%E4%BA%BA%E6%88%90%E5%B0%B1&display=%E4%B8%AD%E6%96%87&_=1556294349461,"HTTP/1.1""",301,194,"['""https://www.wondercv.com/zh-CN/cvs/7ngwyqI/profiles?client=android""']","""Mozilla/5.0(Linux;Android9;BKL-AL20Build/HUAWEIBKL-AL20;wv)AppleWebKit/537.36(KHTML,likeGecko)Version/4.0Chrome/70.0.3538.110MobileSafari/537.36android_wondercv_app&android_app_version=2.2.0""",MISS
14,117.136.6.62,[26/Apr/2019:23:59:09 +0800],"""GET",/verbs?type=%E4%B8%AA%E4%BA%BA%E6%88%90%E5%B0%B1&display=%E4%B8%AD%E6%96%87&_=1556294349462,"HTTP/1.1""",301,194,"['""https://www.wondercv.com/zh-CN/cvs/7ngwyqI/profiles?client=android""']","""Mozilla/5.0(Linux;Android9;BKL-AL20Build/HUAWEIBKL-AL20;wv)AppleWebKit/537.36(KHTML,likeGecko)Version/4.0Chrome/70.0.3538.110MobileSafari/537.36android_wondercv_app&android_app_version=2.2.0""",MISS
15,117.136.6.62,[26/Apr/2019:23:59:09 +0800],"""GET",/verbs?type=%E4%B8%AA%E4%BA%BA%E6%88%90%E5%B0%B1&display=%E4%B8%AD%E6%96%87&,"HTTP/1.1""",304,0,"['""https://www.wondercv.com/zh-CN/cvs/7ngwyqI/profiles?client=android""']","""Mozilla/5.0(Linux;Android9;BKL-AL20Build/HUAWEIBKL-AL20;wv)AppleWebKit/537.36(KHTML,likeGecko)Version/4.0Chrome/70.0.3538.110MobileSafari/537.36android_wondercv_app&android_app_version=2.2.0""",HIT
16,112.96.176.37,[26/Apr/2019:23:59:09 +0800],"""POST",/zh-CN/cvs/3IBb-v4/update_other?remote=true,"HTTP/1.1""",404,9085,"['""https://www.wondercv.com/zh-CN/cvs/3IBb-v4/editor""']","""Mozilla/5.0(WindowsNT10.0;Win64;x64)AppleWebKit/537.36(KHTML,likeGecko)Chrome/64.0.3282.140Safari/537.36Edge/18.17763""",MISS
17,36.17.96.141,[26/Apr/2019:23:59:09 +0800],"""GET",/verbs?type=%E4%B8%AA%E4%BA%BA%E6%88%90%E5%B0%B1&display=%E4%B8%AD%E6%96%87&_=1556294349729,"HTTP/1.1""",301,194,"['""https://www.wondercv.com/zh-CN/cvs/qgyWhOs/custom_sections/2073678/edit""']","""Mozilla/5.0(iPhone;CPUiPhoneOS12_2likeMacOSX)AppleWebKit/605.1.15(KHTML,likeGecko)Mobile/15E148MicroMessenger/7.0.3(0x17000321)NetType/4GLanguage/zh_CNminiProgram""",MISS
18,36.17.96.141,[26/Apr/2019:23:59:09 +0800],"""GET",/verbs?type=%E4%B8%AA%E4%BA%BA%E6%88%90%E5%B0%B1&display=%E4%B8%AD%E6%96%87&_=1556294349730,"HTTP/1.1""",301,194,"['""https://www.wondercv.com/zh-CN/cvs/qgyWhOs/custom_sections/2073678/edit""']","""Mozilla/5.0(iPhone;CPUiPhoneOS12_2likeMacOSX)AppleWebKit/605.1.15(KHTML,likeGecko)Mobile/15E148MicroMessenger/7.0.3(0x17000321)NetType/4GLanguage/zh_CNminiProgram""",MISS
19,117.136.6.62,[26/Apr/2019:23:59:09 +0800],"""GET",/verbs?type=%E4%B8%AA%E4%BA%BA%E6%88%90%E5%B0%B1&display=%E4%B8%AD%E6%96%87&,"HTTP/1.1""",304,0,"['""https://www.wondercv.com/zh-CN/cvs/7ngwyqI/profiles?client=android""']","""Mozilla/5.0(Linux;Android9;BKL-AL20Build/HUAWEIBKL-AL20;wv)AppleWebKit/537.36(KHTML,likeGecko)Version/4.0Chrome/70.0.3538.110MobileSafari/537.36android_wondercv_app&android_app_version=2.2.0""",HIT
20,112.96.176.37,[26/Apr/2019:23:59:10 +0800],"""POST",/zh-CN/cvs/3IBb-v4/update_other?remote=true,"HTTP/1.1""",404,9087,"['""https://www.wondercv.com/zh-CN/cvs/3IBb-v4/editor""']","""Mozilla/5.0(WindowsNT10.0;Win64;x64)AppleWebKit/537.36(KHTML,likeGecko)Chrome/64.0.3282.140Safari/537.36Edge/18.17763""",MISS
21,180.160.193.194,[26/Apr/2019:23:59:10 +0800],"""GET",/zh-CN/signin?type=login,"HTTP/1.1""",200,12340,"['""https://www.wondercv.com/?locale=zh-CN""']","""Mozilla/5.0(Macintosh;IntelMacOSX10_14_3)AppleWebKit/537.36(KHTML,likeGecko)Chrome/73.0.3683.103Safari/537.36""",MISS
22,36.17.96.141,[26/Apr/2019:23:59:10 +0800],"""GET",/verbs?type=%E4%B8%AA%E4%BA%BA%E6%88%90%E5%B0%B1&display=%E4%B8%AD%E6%96%87&,"HTTP/1.1""",200,396,"['""https://www.wondercv.com/zh-CN/cvs/qgyWhOs/custom_sections/2073678/edit""']","""Mozilla/5.0(iPhone;CPUiPhoneOS12_2likeMacOSX)AppleWebKit/605.1.15(KHTML,likeGecko)Mobile/15E148MicroMessenger/7.0.3(0x17000321)NetType/4GLanguage/zh_CNminiProgram""",HIT
23,36.17.96.141,[26/Apr/2019:23:59:10 +0800],"""GET",/verbs?type=%E4%B8%AA%E4%BA%BA%E6%88%90%E5%B0%B1&display=%E4%B8%AD%E6%96%87&,"HTTP/1.1""",200,396,"['""https://www.wondercv.com/zh-CN/cvs/qgyWhOs/custom_sections/2073678/edit""']","""Mozilla/5.0(iPhone;CPUiPhoneOS12_2likeMacOSX)AppleWebKit/605.1.15(KHTML,likeGecko)Mobile/15E148MicroMessenger/7.0.3(0x17000321)NetType/4GLanguage/zh_CNminiProgram""",HIT
24,180.160.193.194,[26/Apr/2019:23:59:10 +0800],"""GET",/assets/signin-b362885eedc0449fab53387f970c1594159f59a6ca01290b4b064fb78c82fb73.css,"HTTP/1.1""",302,170,"['""https://www.wondercv.com/zh-CN/signin?type=login""']","""Mozilla/5.0(Macintosh;IntelMacOSX10_14_3)AppleWebKit/537.36(KHTML,likeGecko)Chrome/73.0.3683.103Safari/537.36""",MISS
25,218.106.145.18,[26/Apr/2019:23:59:10 +0800],"""GET",/universities.json?term=%E7%A6%8F%E5%B7%9E%E5%A4%A7%E5%AD%A6%EF%BC%88211%E5%B7%A5%E7%A8%8B%E9%99%A2%E6%A0%A1%EF%BC%89,"HTTP/1.1""",200,33,"['""https://www.wondercv.com/zh-CN/cvs/gKDnhOg/editor""']","""Mozilla/5.0(WindowsNT10.0;Win64;x64)AppleWebKit/537.36(KHTML,likeGecko)Chrome/73.0.3683.75Safari/537.36""",MISS
26,218.197.153.119,[26/Apr/2019:23:59:10 +0800],"""DELETE",/zh-CN/cvs/1192234/interests/destroy_all,"HTTP/1.1""",200,508,"['""https://www.wondercv.com/zh-CN/cvs/VX3AILg/editor""']","""Mozilla/5.0(WindowsNT10.0;Win64;x64)AppleWebKit/537.36(KHTML,likeGecko)Chrome/73.0.3683.86Safari/537.36""",MISS
27,180.160.193.194,[26/Apr/2019:23:59:10 +0800],"""GET",/assets/signin-16104c483d9ed82d48adb20eb51051330731bf287bb17f613fce7e4ceb68accf.js,"HTTP/1.1""",200,39936,"['""https://www.wondercv.com/zh-CN/signin?type=login""']","""Mozilla/5.0(Macintosh;IntelMacOSX10_14_3)AppleWebKit/537.36(KHTML,likeGecko)Chrome/73.0.3683.103Safari/537.36""",MISS
28,112.96.69.149,[26/Apr/2019:23:59:10 +0800],"""POST",/zh-CN/cvs/wEgl40o/custom_sections/2073783?client=,"HTTP/1.1""",200,190,"['""https://www.wondercv.com/zh-CN/cvs/wEgl40o/custom_sections/2073783/edit?client=""']","""Mozilla/5.0(iPhone;CPUiPhoneOS11_2_6likeMacOSX)AppleWebKit/604.5.6(KHTML,likeGecko)Mobile/15D100MicroMessenger/6.7.2NetType/4GLanguage/zh_CN""",MISS
29,119.85.172.43,[26/Apr/2019:23:59:10 +0800],"""POST",/zh-CN/signin/scan,"HTTP/1.1""",200,147,"['""https://www.wondercv.com/welcome/stu_cv/?_c=baidu&_p=pcczc&_k=0596""']","""Mozilla/5.0(WindowsNT6.1;WOW64)AppleWebKit/537.36(KHTML,likeGecko)Chrome/70.0.3538.25Safari/537.36Core/1.70.3676.400QQBrowser/10.4.3457.400""",MISS
30,58.253.69.253,[26/Apr/2019:23:59:10 +0800],"""GET",/companies.json?term=%E6%B7%98%E5%AE%9D%E5%BA%97&lang=cn,"HTTP/1.1""",304,0,"['""https://www.wondercv.com/zh-CN/cvs/sDMwxn8/editor""']","""Mozilla/5.0(WindowsNT10.0;WOW64)AppleWebKit/537.36(KHTML,likeGecko)Chrome/70.0.3538.25Safari/537.36Core/1.70.3650.400QQBrowser/10.4.3341.400""",MISS
31,126.247.213.123,[26/Apr/2019:23:59:10 +0800],"""GET",/verbs?type=%E4%B8%AA%E4%BA%BA%E6%88%90%E5%B0%B1&display=%E4%B8%AD%E6%96%87&_=1556294339263,"HTTP/1.1""",301,194,"['""https://www.wondercv.com/zh-CN/cvs/DPoQ86A/edus?client=ios""']","""Mozilla/5.0(iPhone;CPUiPhoneOS12_1_4likeMacOSX)AppleWebKit/605.1.15(KHTML,likeGecko)Mobile/16D57/wondercv_ios/app_version=2.3.1""",MISS
32,180.160.193.194,[26/Apr/2019:23:59:10 +0800],"""POST",/zh-CN/signin/scan,"HTTP/1.1""",200,146,"['""https://www.wondercv.com/zh-CN/signin?type=login""']","""Mozilla/5.0(Macintosh;IntelMacOSX10_14_3)AppleWebKit/537.36(KHTML,likeGecko)Chrome/73.0.3683.103Safari/537.36""",MISS
